"occurrenceID","eventID","measurementType","measurementValue","measurementUnit"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:1","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:10","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:11","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:12","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:13","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:14","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:15","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:16","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:17","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:18","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:19","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:2","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
"DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1:20","DIMAR:CCCP:EXP.PACIFICO:2018:BME34-1","Transparencia",0.2,"m"
